app_id,label
com.keyboard.mate.theme,suspicious
6587559933,suspicious
com.uhd.live4kwallpapers.anime.background,suspicious
com.vagaa.fly.cool.anime.keyboard,suspicious
com.prankapp.soundprank.funnysound.air.horn.game.tool,suspicious
com.air.prank.lie.detector.turthtest.funny.sound.funny.hhpp,suspicious
com.clapping.findphone.lost.phone.gps.tracker,suspicious
6738574478,suspicious
com.funnysounds.farts.prank.sounds.app.funnyjoke,suspicious
com.backgrounds.themes.anime.wallpapers4k.hd,suspicious
com.jdpsoft.math.puzzle,suspicious
6738272371,suspicious
com.pandawall.hdscreen,suspicious
com.uhd.prank.sounds.fart.haircut.funny.toy,suspicious
com.uhdwallpapers.live.anime4k.background,suspicious
6479636395,suspicious
6496201367,suspicious
6739422362,suspicious
com.anime.wallpaperhd.live.cool,suspicious
com.applock.guard.secure,suspicious
com.ar.arsketch,suspicious
com.ar.artraceartpro,suspicious
com.ar.drawing,suspicious
com.cheery.wallpaper.live,suspicious
com.colorful.statics.wallpaper,suspicious
com.cool.wallpaper.uhd.background.anime4k.live,suspicious
com.funny.prank.voice.breaker,suspicious
com.haircut.fart.airhorn.funnysound.prank.game.play.pp,suspicious
com.hdwallpapers.live.anime4k.background.lockscreen,suspicious
com.key.keyboardstyle,suspicious
com.paint.ar.drawing,suspicious
com.paint.virtualsketch,suspicious
com.prank.funny.air.horn.fartsound.sounds,suspicious
com.prank.haircut.fartprank.joke.funny.airhorn,suspicious
com.prank.joke.wave,suspicious
com.prank.sounds.funny.toy.fart.haircut,suspicious
com.pranknote.funny.sounds,suspicious
com.uu.wallpaper.hd,suspicious
com.x4d.live.wallpaper.pixel4d.hd4k.backgroung,suspicious
com.Slbazer.Craftsman4,suspicious
com.vic.monster.elimination,suspicious
828578246,suspicious
com.Puzzles.Chick.Stack.Crush.GP,suspicious
6743993903,suspicious
com.dop.brain.puzzle.launcher.free.limng,suspicious
com.mr.hero.shoot.puzzle.free.game.ponmr,suspicious
com.fat.cat.sjan.game,suspicious
com.light.wrap.flare.lum,suspicious
com.happy.draw.save.puzzle.launcher.stwen,suspicious
com.ordinaryjoy.block.vivo,suspicious
com.parking.game.road.adventure.iuad.game,suspicious
com.live.tile.star.light.beauty,suspicious
com.pdf.viewer.good,suspicious
studio.powerplay.tycoonwrapper,suspicious
com.wallpaperpix.frkb,suspicious
com.calcura.app,suspicious
com.RayGaming.ForestCleaner,suspicious
com.hideipro.calculator,suspicious
366919933,suspicious
com.BWD.Bluewarriordash,suspicious
com.hidemepro.hcalc,suspicious
com.pujiagames.deeeersimulator.vivo,suspicious
com.barkaoui.shade.shifter,suspicious
com.juan.bubble.merge.jhsuan.game,suspicious
com.chic.love.journey.fashion.merge,suspicious
com.suan.powershow,suspicious
com.fxbl.scl.vivo,suspicious
com.PCH.PortalCubeHarvest,suspicious
458838,suspicious
com.cent.conflict.healthy,suspicious
id.britech.sportymatch,suspicious
com.barcode.picture.scanner,suspicious
jp.co.Maimo,suspicious
com.wififrko.radar,suspicious
com.elifoot.m20f,suspicious
com.player.enjoytime,suspicious
com.warrior.officebuilding.gp,suspicious
wool.master.screw.match.coloring,suspicious
com.zzuf.fuzz,suspicious
com.slay.pengu,suspicious
com.shine.on.torch.galaxyz,suspicious
com.quicknews.android.newsdeliver,suspicious
com.find.aliens.jisan.game,suspicious
com.gartic.stopots,suspicious
com.card.collection.master.jusanf.game,suspicious
6740115362,suspicious
io.gartic.gartic,suspicious
com.Fillthecips.puzzlegame,suspicious
com.monotower.battlemonster,suspicious
com.mind.quiz.brain.out.vivo,suspicious
com.roller.coaster.scream.loudly.jusan.game,suspicious
com.lmtopx.recoverjtph,suspicious
com.cns.gutjoo,suspicious
